id,round,page_name,time_spent,time_entered,time_done
0sMx,1,S0,0,2023-01-23T15:23:45Z,2023-01-23T15:23:45Z
0sMx,1,S1,603,2023-01-23T15:23:45Z,2023-01-23T15:33:48Z
0sMx,1,S2,27,2023-01-23T15:33:48Z,2023-01-23T15:34:15Z
0sMx,1,S3,21,2023-01-23T15:34:15Z,2023-01-23T15:34:36Z
0sMx,2,S2,21,2023-01-23T15:34:36Z,2023-01-23T15:34:57Z
0sMx,2,S3,11,2023-01-23T15:34:57Z,2023-01-23T15:35:08Z
0sMx,3,S2,27,2023-01-23T15:35:08Z,2023-01-23T15:35:35Z
0sMx,3,S3,3,2023-01-23T15:35:35Z,2023-01-23T15:35:38Z
0sMx,4,S2,18,2023-01-23T15:35:38Z,2023-01-23T15:35:56Z
0sMx,4,S3,2,2023-01-23T15:35:56Z,2023-01-23T15:35:58Z
0sMx,5,S2,7,2023-01-23T15:35:58Z,2023-01-23T15:36:05Z
0sMx,5,S3,2,2023-01-23T15:36:05Z,2023-01-23T15:36:07Z
0sMx,6,S2,9,2023-01-23T15:36:07Z,2023-01-23T15:36:16Z
0sMx,6,S3,2,2023-01-23T15:36:16Z,2023-01-23T15:36:18Z
0sMx,7,S2,20,2023-01-23T15:36:18Z,2023-01-23T15:36:38Z
0sMx,7,S3,1,2023-01-23T15:36:38Z,2023-01-23T15:36:39Z
0sMx,8,S2,10,2023-01-23T15:36:39Z,2023-01-23T15:36:49Z
0sMx,8,S3,6,2023-01-23T15:36:49Z,2023-01-23T15:36:55Z
0sMx,9,S2,16,2023-01-23T15:36:55Z,2023-01-23T15:37:11Z
0sMx,9,S3,3,2023-01-23T15:37:11Z,2023-01-23T15:37:14Z
0sMx,10,S2,9,2023-01-23T15:37:14Z,2023-01-23T15:37:23Z
0sMx,10,S3,2,2023-01-23T15:37:23Z,2023-01-23T15:37:25Z
0sMx,10,S4,418,2023-01-23T15:37:25Z,2023-01-23T15:44:23Z
1zlb,1,S0,0,2023-01-18T11:11:28Z,2023-01-18T11:11:28Z
1zlb,1,S1,5,2023-01-18T11:11:28Z,2023-01-18T11:11:33Z
22DD,1,S0,0,2023-01-17T23:40:46Z,2023-01-17T23:40:46Z
22DD,1,S1,37,2023-01-17T23:40:46Z,2023-01-17T23:41:23Z
22DD,1,S2,15,2023-01-17T23:41:23Z,2023-01-17T23:41:38Z
22DD,1,S3,3,2023-01-17T23:41:38Z,2023-01-17T23:41:41Z
22DD,2,S2,9,2023-01-17T23:41:41Z,2023-01-17T23:41:50Z
22DD,2,S3,32,2023-01-17T23:41:50Z,2023-01-17T23:42:22Z
22DD,3,S2,27,2023-01-17T23:42:22Z,2023-01-17T23:42:49Z
22DD,3,S3,2,2023-01-17T23:42:49Z,2023-01-17T23:42:51Z
22DD,4,S2,15,2023-01-17T23:42:51Z,2023-01-17T23:43:06Z
22DD,4,S3,1,2023-01-17T23:43:06Z,2023-01-17T23:43:07Z
22DD,5,S2,7,2023-01-17T23:43:07Z,2023-01-17T23:43:14Z
22DD,5,S3,2,2023-01-17T23:43:14Z,2023-01-17T23:43:16Z
22DD,6,S2,6,2023-01-17T23:43:16Z,2023-01-17T23:43:22Z
22DD,6,S3,1,2023-01-17T23:43:22Z,2023-01-17T23:43:23Z
22DD,7,S2,31,2023-01-17T23:43:23Z,2023-01-17T23:43:54Z
22DD,7,S3,1,2023-01-17T23:43:54Z,2023-01-17T23:43:55Z
22DD,8,S2,12,2023-01-17T23:43:55Z,2023-01-17T23:44:07Z
22DD,8,S3,2,2023-01-17T23:44:07Z,2023-01-17T23:44:09Z
22DD,9,S2,25,2023-01-17T23:44:09Z,2023-01-17T23:44:34Z
22DD,9,S3,24,2023-01-17T23:44:34Z,2023-01-17T23:44:58Z
22DD,10,S2,35,2023-01-17T23:44:58Z,2023-01-17T23:45:33Z
25DU,1,S0,0,2023-01-17T20:58:13Z,2023-01-17T20:58:13Z
25DU,1,S1,2,2023-01-17T20:58:13Z,2023-01-17T20:58:15Z
25DU,1,S2,59,2023-01-17T20:58:15Z,2023-01-17T20:59:14Z
25DU,1,S3,23,2023-01-17T20:59:14Z,2023-01-17T20:59:37Z
