id,round,page_name,time_spent,time_entered,time_done
4zNG,1,S0,0,2025-01-14T11:15:40Z,2025-01-14T11:15:40Z
4zNG,1,S1,12627,2025-01-14T11:15:40Z,2025-01-14T14:46:07Z
4zNG,1,S2,536434,2025-01-14T14:46:07Z,2025-01-20T19:46:41Z
4zNG,1,S3,7,2025-01-20T19:46:41Z,2025-01-20T19:46:48Z
4zNG,2,S2,49,2025-01-20T19:46:48Z,2025-01-20T19:47:37Z
4zNG,2,S3,4,2025-01-20T19:47:37Z,2025-01-20T19:47:41Z
4zNG,3,S2,18,2025-01-20T19:47:41Z,2025-01-20T19:47:59Z
4zNG,3,S3,4,2025-01-20T19:47:59Z,2025-01-20T19:48:03Z
4zNG,4,S2,188,2025-01-20T19:48:03Z,2025-01-20T19:51:11Z
4zNG,4,S3,2,2025-01-20T19:51:11Z,2025-01-20T19:51:13Z
4zNG,5,S2,18,2025-01-20T19:51:13Z,2025-01-20T19:51:31Z
4zNG,5,S3,5,2025-01-20T19:51:31Z,2025-01-20T19:51:36Z
4zNG,6,S2,9,2025-01-20T19:51:36Z,2025-01-20T19:51:45Z
4zNG,6,S3,3,2025-01-20T19:51:45Z,2025-01-20T19:51:48Z
4zNG,7,S2,5,2025-01-20T19:51:48Z,2025-01-20T19:51:53Z
4zNG,7,S3,1,2025-01-20T19:51:53Z,2025-01-20T19:51:54Z
4zNG,8,S2,6,2025-01-20T19:51:54Z,2025-01-20T19:52:00Z
4zNG,8,S3,2,2025-01-20T19:52:00Z,2025-01-20T19:52:02Z
4zNG,9,S2,4,2025-01-20T19:52:02Z,2025-01-20T19:52:06Z
4zNG,9,S3,3,2025-01-20T19:52:06Z,2025-01-20T19:52:09Z
4zNG,10,S2,4,2025-01-20T19:52:09Z,2025-01-20T19:52:13Z
4zNG,10,S3,2,2025-01-20T19:52:13Z,2025-01-20T19:52:15Z
4zNG,10,S4,286,2025-01-20T19:52:15Z,2025-01-20T19:57:01Z
57F5,1,S0,0,2025-01-20T20:54:32Z,2025-01-20T20:54:32Z
57F5,1,S1,5,2025-01-20T20:54:32Z,2025-01-20T20:54:37Z
57F5,1,S2,67,2025-01-20T20:54:37Z,2025-01-20T20:55:44Z
57F5,1,S3,15,2025-01-20T20:55:44Z,2025-01-20T20:55:59Z
57F5,2,S2,15,2025-01-20T20:55:59Z,2025-01-20T20:56:14Z
57F5,2,S3,12,2025-01-20T20:56:14Z,2025-01-20T20:56:26Z
57F5,3,S2,8,2025-01-20T20:56:26Z,2025-01-20T20:56:34Z
57F5,3,S3,2,2025-01-20T20:56:34Z,2025-01-20T20:56:36Z
57F5,4,S2,4,2025-01-20T20:56:36Z,2025-01-20T20:56:40Z
57F5,4,S3,2,2025-01-20T20:56:40Z,2025-01-20T20:56:42Z
57F5,5,S2,6,2025-01-20T20:56:42Z,2025-01-20T20:56:48Z
57F5,5,S3,2,2025-01-20T20:56:48Z,2025-01-20T20:56:50Z
57F5,6,S2,3,2025-01-20T20:56:50Z,2025-01-20T20:56:53Z
57F5,6,S3,1,2025-01-20T20:56:53Z,2025-01-20T20:56:54Z
57F5,7,S2,7,2025-01-20T20:56:54Z,2025-01-20T20:57:01Z
57F5,7,S3,2,2025-01-20T20:57:01Z,2025-01-20T20:57:03Z
57F5,8,S2,3,2025-01-20T20:57:03Z,2025-01-20T20:57:06Z
57F5,8,S3,2,2025-01-20T20:57:06Z,2025-01-20T20:57:08Z
57F5,9,S2,4,2025-01-20T20:57:08Z,2025-01-20T20:57:12Z
57F5,9,S3,1,2025-01-20T20:57:12Z,2025-01-20T20:57:13Z
57F5,10,S2,3,2025-01-20T20:57:13Z,2025-01-20T20:57:16Z
57F5,10,S3,2,2025-01-20T20:57:16Z,2025-01-20T20:57:18Z
57F5,10,S4,123,2025-01-20T20:57:18Z,2025-01-20T20:59:21Z
5ce3,1,S0,0,2025-01-17T12:40:32Z,2025-01-17T12:40:32Z
5ce3,1,S1,167,2025-01-17T12:40:32Z,2025-01-17T12:43:19Z
