id,round,cost,offer,accepted,asked_invalid_budget,budget,wealth,profit
0sMx,1,5.7,4800,TRUE,0,5700,1000,-700
0sMx,2,5.9,4700,TRUE,0,5900,2000,-1600
0sMx,3,4.5,5400,TRUE,0,4500,3000,-1100
0sMx,4,6,5600,TRUE,0,6000,4000,-2100
0sMx,5,4.2,5300,TRUE,0,4200,5000,-1300
0sMx,6,4.2,4600,TRUE,0,4200,6000,-500
0sMx,7,5.5,5700,TRUE,0,5700,7200,-1200
0sMx,8,5.3,5000,TRUE,0,5300,8200,-1500
0sMx,9,5.9,5600,TRUE,0,5900,9200,-2400
0sMx,10,5.9,4700,TRUE,0,6000,10300,-3400
22DD,1,5.7,NA,NA,0,5700,1000,-700
22DD,2,5.9,NA,NA,0,5900,2000,-1600
22DD,3,4,NA,NA,0,4400,3400,-1000
22DD,4,4.3,NA,NA,0,4600,4700,-600
22DD,5,4.5,NA,NA,0,4700,5900,-300
22DD,6,5.4,NA,NA,0,5400,6900,-700
22DD,7,4.6,NA,NA,0,4700,8000,-400
22DD,8,5,NA,NA,0,5000,9000,-400
22DD,9,5.3,NA,NA,0,5300,10000,-700
22DD,10,5.9,NA,NA,0,6000,11100,-1700
25DU,1,4.5,NA,NA,1,5000,1500,0
25DU,2,4.8,NA,NA,0,4800,2500,200
25DU,3,4.7,NA,NA,0,5000,3800,200
25DU,4,4.6,NA,NA,0,6000,6200,-800
25DU,5,5.1,NA,NA,1,5100,7200,-900
25DU,6,4.7,NA,NA,0,6000,9500,-1900
25DU,7,4.5,NA,NA,0,5000,11000,-1900
25DU,8,5.8,NA,NA,0,5900,12100,-2800
25DU,9,4.8,NA,NA,0,5000,13300,-2800
25DU,10,5.5,NA,NA,0,5500,14300,-3300
3Qx1,1,4.7,4500,TRUE,0,5700,2000,-700
3Qx1,2,5.4,4100,TRUE,0,5700,3300,-1400
3Qx1,3,5.7,5500,TRUE,0,6000,4600,-2400
3Qx1,4,4.9,4400,TRUE,0,6000,6700,-3400
3Qx1,5,4.4,4300,TRUE,0,6000,9300,-4400
3Qx1,6,4.6,4200,TRUE,0,5800,11500,-5200
3Qx1,7,4.1,5100,FALSE,0,5100,13500,-5300
3Qx1,8,5.8,5000,TRUE,0,6000,14700,-6300
3Qx1,9,5.1,4900,TRUE,0,5500,16100,-6800
3Qx1,10,4,4200,TRUE,0,4800,17900,-6600
5FNa,1,5.3,NA,NA,0,6000,1700,-1000
5FNa,2,5.8,NA,NA,0,5900,2800,-1900
5FNa,3,5.6,NA,NA,0,6000,4200,-2900
5FNa,4,4.5,NA,NA,0,6000,6700,-3900
5FNa,5,4.3,NA,NA,0,6000,9400,-4900
5FNa,6,4.6,NA,NA,0,6000,11800,-5900
5FNa,7,5.4,NA,NA,0,6000,13400,-6900
5FNa,8,5.6,NA,NA,0,6000,14800,-7900
5FNa,9,6,NA,NA,0,6000,15800,-8900
5FNa,10,4.7,NA,NA,0,6000,18100,-9900
5RjF,1,4.4,NA,NA,0,6000,2600,-1000
5RjF,2,4.8,NA,NA,0,5800,4600,-1800
5RjF,3,4.1,NA,NA,0,5100,6600,-1900
5RjF,4,4.7,NA,NA,0,4900,7800,-1800
5RjF,5,5.7,NA,NA,0,5900,9000,-2700
5RjF,6,6,NA,NA,0,6000,10000,-3700
5RjF,7,5.8,NA,NA,0,6000,11200,-4700
5RjF,8,4.9,NA,NA,0,5900,13200,-5600
5RjF,9,5.8,NA,NA,0,5800,14200,-6400
5RjF,10,4.5,NA,NA,0,5500,16200,-6900
8TMC,1,4.5,NA,NA,0,4500,1000,500
8TMC,2,5.9,NA,NA,0,5900,2000,-400
8TMC,3,4.3,NA,NA,0,4300,3000,300
8TMC,4,5.6,NA,NA,0,5600,4000,-300
8TMC,5,5.2,NA,NA,1,5400,5200,-700
8TMC,6,5.4,NA,NA,0,5400,6200,-1100
8TMC,7,5.2,NA,NA,0,6000,8000,-2100
8TMC,8,5.2,NA,NA,0,5200,9000,-2300
8TMC,9,4.2,NA,NA,0,4200,10000,-1500
8TMC,10,4.9,NA,NA,0,4900,11000,-1400
9jrC,1,4.6,NA,NA,0,6000,2400,-1000
9jrC,2,5.7,NA,NA,0,5700,3400,-1700
9jrC,3,5.5,NA,NA,0,5900,4800,-2600
9jrC,4,4.1,NA,NA,0,5600,7300,-3200
9jrC,5,5.9,NA,NA,0,5900,8300,-4100
9jrC,6,5.6,NA,NA,0,5700,9400,-4800
9jrC,7,5.6,NA,NA,0,5800,10600,-5600
9jrC,8,4.6,NA,NA,0,5300,12300,-5900
9jrC,9,5.6,NA,NA,0,5600,13300,-6500
9jrC,10,5.1,NA,NA,0,5400,14600,-6900
9vEl,1,5.9,NA,NA,0,6000,1100,-1000
9vEl,2,5,NA,NA,0,6000,3100,-2000
9vEl,3,5.9,NA,NA,0,6000,4200,-3000
9vEl,4,4.6,NA,NA,0,5600,6200,-3600
9vEl,5,4.9,NA,NA,0,5000,7300,-3600
9vEl,6,5.5,NA,NA,0,6000,8800,-4600
9vEl,7,5.5,NA,NA,0,5600,9900,-5200
9vEl,8,5.4,NA,NA,0,5500,11000,-5700
9vEl,9,4.8,NA,NA,0,5100,12300,-5800
9vEl,10,4.6,NA,NA,0,5100,13800,-5900
bDfX,1,5.6,5400,TRUE,0,6000,1400,-1000
bDfX,2,5.8,4900,TRUE,0,6000,2600,-2000
bDfX,3,4,4300,TRUE,0,6000,5600,-3000
bDfX,4,4.4,4200,TRUE,0,6000,8200,-4000
bDfX,5,4,5800,TRUE,0,6000,11200,-5000
bDfX,6,4.6,5200,TRUE,0,6000,13600,-6000
bDfX,7,4.1,5200,TRUE,0,6000,16500,-7000
bDfX,8,5.3,6000,TRUE,0,6000,18200,-8000
bDfX,9,4.7,4400,TRUE,0,6000,20500,-9000
bDfX,10,5.5,4200,TRUE,0,6000,22000,-10000
DiOc,1,4.5,NA,NA,0,4900,1400,100
DiOc,2,4.7,NA,NA,0,4900,2600,200
DiOc,3,4.6,NA,NA,0,4900,3900,300
DiOc,4,4.7,NA,NA,0,4800,5000,500
DiOc,5,4.2,NA,NA,0,4700,6500,800
DiOc,6,5.1,NA,NA,1,5100,7500,700
DiOc,7,5,NA,NA,0,5000,8500,700
DiOc,8,5.1,NA,NA,0,5200,9600,500
DiOc,9,4.8,NA,NA,0,4900,10700,600
DiOc,10,5.3,NA,NA,0,5300,11700,300
dMJ3,1,4.2,NA,NA,0,6000,2800,-1000
dMJ3,2,5,NA,NA,0,6000,4800,-2000
dMJ3,3,4.1,NA,NA,0,6000,7700,-3000
dMJ3,4,4.8,NA,NA,0,6000,9900,-4000
dMJ3,5,4.7,NA,NA,0,6000,12200,-5000
dMJ3,6,5.1,NA,NA,0,6000,14100,-6000
dMJ3,7,4.2,NA,NA,0,6000,16900,-7000
dMJ3,8,5.1,NA,NA,0,6000,18800,-8000
dMJ3,9,5.3,NA,NA,0,5900,20400,-8900
dMJ3,10,4,NA,NA,0,5900,23300,-9800
dz6t,1,4.3,4200,TRUE,0,5500,2200,-500
dz6t,2,4.5,4200,TRUE,0,5700,4400,-1200
dz6t,3,6,5600,TRUE,0,6000,5400,-2200
dz6t,4,4.2,5100,TRUE,0,5400,7600,-2600
dz6t,5,4.7,5100,TRUE,0,5900,9800,-3500
dz6t,6,5,5300,FALSE,0,5300,11100,-3800
dz6t,7,5.5,5700,FALSE,0,5700,12300,-4500
dz6t,8,5.2,4600,TRUE,0,5800,13900,-5300
dz6t,9,5.2,5600,FALSE,0,5600,15300,-5900
dz6t,10,4.8,5800,TRUE,0,6000,17500,-6900
Ej3r,1,4.3,NA,NA,0,6000,2700,-1000
Ej3r,2,4.5,NA,NA,0,6000,5200,-2000
Ej3r,3,5.4,NA,NA,0,6000,6800,-3000
Ej3r,4,4.5,NA,NA,0,6000,9300,-4000
Ej3r,5,4.6,NA,NA,0,6000,11700,-5000
Ej3r,6,5.7,NA,NA,0,6000,13000,-6000
Ej3r,7,4.3,NA,NA,0,6000,15700,-7000
Ej3r,8,4.1,NA,NA,0,6000,18600,-8000
Ej3r,9,4.8,NA,NA,0,6000,20800,-9000
Ej3r,10,5.8,NA,NA,0,6000,22000,-10000
H7Ka,1,5.5,NA,NA,0,6000,1500,-1000
H7Ka,2,5.4,NA,NA,0,5900,3000,-1900
H7Ka,3,4.7,NA,NA,0,5000,4300,-1900
H7Ka,4,5.9,NA,NA,0,6000,5400,-2900
H7Ka,5,4.9,NA,NA,0,5000,6500,-2900
H7Ka,6,5.5,NA,NA,0,5500,7500,-3400
H7Ka,7,5.9,NA,NA,0,6000,8600,-4400
H7Ka,8,4.4,NA,NA,0,4900,10100,-4300
H7Ka,9,5.6,NA,NA,0,5600,11100,-4900
H7Ka,10,5.4,NA,NA,0,5400,12100,-5300
HrtA,1,4.4,5500,TRUE,0,4500,1100,500
HrtA,2,5.7,4600,TRUE,0,5700,2100,-200
HrtA,3,6,5800,TRUE,0,6000,3100,-1200
HrtA,4,4.9,5300,TRUE,0,5000,4200,-1200
HrtA,5,5.8,4500,TRUE,0,5800,5200,-2000
HrtA,6,5.6,5600,FALSE,0,5600,6200,-2600
HrtA,7,4.1,4100,TRUE,0,4500,7600,-2100
HrtA,8,5.7,4500,TRUE,0,5800,8700,-2900
HrtA,9,4.3,5500,TRUE,0,5600,11000,-3500
HrtA,10,4.4,5700,TRUE,0,5000,12600,-3500
j2eJ,1,5,4400,TRUE,0,6000,2000,-1000
j2eJ,2,4.8,4700,TRUE,0,6000,4200,-2000
j2eJ,3,4.6,5500,TRUE,0,6000,6600,-3000
j2eJ,4,5.4,4300,TRUE,0,6000,8200,-4000
j2eJ,5,5.6,4200,TRUE,0,6000,9600,-5000
j2eJ,6,5.3,5300,TRUE,0,6000,11300,-6000
j2eJ,7,5.7,4600,TRUE,0,6000,12600,-7000
j2eJ,8,4.2,5700,TRUE,0,6000,15400,-8000
j2eJ,9,4.7,4100,TRUE,0,6000,17700,-9000
j2eJ,10,5.6,4100,TRUE,0,6000,19100,-10000
jM6g,1,4.8,5000,FALSE,0,5000,1200,0
jM6g,2,4.7,4700,FALSE,0,4700,2200,300
jM6g,3,4.2,5700,FALSE,0,5700,4700,-400
jM6g,4,5.1,5100,TRUE,0,5200,5800,-600
jM6g,5,4.5,4100,TRUE,0,4500,6800,-100
jM6g,6,4.3,4300,FALSE,0,4300,7800,600
jM6g,7,5.3,5300,TRUE,0,5400,8900,200
jM6g,8,5.4,4700,TRUE,0,5400,9900,-200
jM6g,9,4.9,5500,FALSE,0,5500,11500,-700
jM6g,10,5.5,4600,TRUE,0,6000,13000,-1700
lWcV,1,5.2,NA,NA,0,5500,1300,-500
lWcV,2,4.2,NA,NA,0,5000,3100,-500
lWcV,3,5.2,NA,NA,0,5300,4200,-800
lWcV,4,4.5,NA,NA,0,5100,5800,-900
lWcV,5,5.6,NA,NA,0,5600,6800,-1500
lWcV,6,5.7,NA,NA,0,5700,7800,-2200
lWcV,7,5.4,NA,NA,0,5400,8800,-2600
lWcV,8,4.8,NA,NA,0,5100,10100,-2700
lWcV,9,5.9,NA,NA,0,5900,11100,-3600
lWcV,10,4.5,NA,NA,0,5200,12800,-3800
mAIr,1,5.5,4100,TRUE,0,5500,1000,-500
mAIr,2,5.7,6000,TRUE,0,5700,2000,-1200
mAIr,3,4.9,5800,TRUE,0,4900,3000,-1100
mAIr,4,4.7,4600,TRUE,0,4700,4000,-800
mAIr,5,4.7,5500,TRUE,0,4700,5000,-500
mAIr,6,4.8,4200,TRUE,0,4800,6000,-300
mAIr,7,4,4200,TRUE,0,4000,7000,700
mAIr,8,5.5,4900,TRUE,0,5500,8000,200
mAIr,9,4.9,5500,TRUE,0,4900,9000,300
mAIr,10,4.1,5900,TRUE,0,4100,10000,1200
MnCh,1,4.9,4600,TRUE,0,6000,2100,-1000
MnCh,2,4.2,4800,TRUE,0,6000,4900,-2000
MnCh,3,4.7,5300,TRUE,0,6000,7200,-3000
MnCh,4,4.2,4200,TRUE,0,6000,10000,-4000
MnCh,5,4.9,5800,TRUE,0,6000,12100,-5000
MnCh,6,5.8,4900,TRUE,0,6000,13300,-6000
MnCh,7,4.4,4700,TRUE,0,6000,15900,-7000
MnCh,8,4.1,5700,TRUE,0,6000,18800,-8000
MnCh,9,5.6,5200,TRUE,0,6000,20200,-9000
MnCh,10,4.6,4100,TRUE,0,6000,22600,-10000
P14m,1,5.1,5500,FALSE,0,5500,1400,-500
qCdw,1,4.7,NA,NA,0,6000,2300,-1000
qCdw,2,4.1,NA,NA,0,6000,5200,-2000
qCdw,3,5.7,NA,NA,0,6000,6500,-3000
