id,round,page_name,time_spent,time_entered,time_done
03k8,1,S0,0,2024-01-16T12:45:44Z,2024-01-16T12:45:44Z
03k8,1,S1,6,2024-01-16T12:45:44Z,2024-01-16T12:45:50Z
03k8,1,S2,79549,2024-01-16T12:45:50Z,2024-01-17T10:51:39Z
03k8,1,S3,62,2024-01-17T10:51:39Z,2024-01-17T10:52:41Z
03k8,2,S2,59,2024-01-17T10:52:41Z,2024-01-17T10:53:40Z
03k8,2,S3,36,2024-01-17T10:53:40Z,2024-01-17T10:54:16Z
03k8,3,S2,21,2024-01-17T10:54:16Z,2024-01-17T10:54:37Z
03k8,3,S3,11,2024-01-17T10:54:37Z,2024-01-17T10:54:48Z
03k8,4,S2,4,2024-01-17T10:54:48Z,2024-01-17T10:54:52Z
03k8,4,S3,2,2024-01-17T10:54:52Z,2024-01-17T10:54:54Z
03k8,5,S2,24,2024-01-17T10:54:54Z,2024-01-17T10:55:18Z
03k8,5,S3,4,2024-01-17T10:55:18Z,2024-01-17T10:55:22Z
03k8,6,S2,4,2024-01-17T10:55:22Z,2024-01-17T10:55:26Z
03k8,6,S3,2,2024-01-17T10:55:26Z,2024-01-17T10:55:28Z
03k8,7,S2,4,2024-01-17T10:55:28Z,2024-01-17T10:55:32Z
03k8,7,S3,2,2024-01-17T10:55:32Z,2024-01-17T10:55:34Z
03k8,8,S2,17,2024-01-17T10:55:34Z,2024-01-17T10:55:51Z
03k8,8,S3,2,2024-01-17T10:55:51Z,2024-01-17T10:55:53Z
03k8,9,S2,13,2024-01-17T10:55:53Z,2024-01-17T10:56:06Z
03k8,9,S3,2,2024-01-17T10:56:06Z,2024-01-17T10:56:08Z
03k8,10,S2,6,2024-01-17T10:56:08Z,2024-01-17T10:56:14Z
03k8,10,S3,1,2024-01-17T10:56:14Z,2024-01-17T10:56:15Z
03k8,10,S4,68,2024-01-17T10:56:15Z,2024-01-17T10:57:23Z
0q4d,1,S0,0,2024-01-17T23:51:57Z,2024-01-17T23:51:57Z
0q4d,1,S1,5,2024-01-17T23:51:57Z,2024-01-17T23:52:02Z
0u20,1,S0,0,2024-01-16T13:09:40Z,2024-01-16T13:09:40Z
0u20,1,S1,306,2024-01-16T13:09:40Z,2024-01-16T13:14:46Z
0u20,1,S2,98,2024-01-16T13:14:46Z,2024-01-16T13:16:24Z
0u20,1,S3,59,2024-01-16T13:16:24Z,2024-01-16T13:17:23Z
0u20,2,S2,28,2024-01-16T13:17:23Z,2024-01-16T13:17:51Z
0u20,2,S3,12,2024-01-16T13:17:51Z,2024-01-16T13:18:03Z
5G0V,1,S0,0,2024-01-19T09:22:24Z,2024-01-19T09:22:24Z
5G0V,1,S1,66,2024-01-19T09:22:24Z,2024-01-19T09:23:30Z
5G0V,1,S2,40,2024-01-19T09:23:30Z,2024-01-19T09:24:10Z
6Y2B,1,S0,0,2024-01-22T15:40:51Z,2024-01-22T15:40:51Z
6Y2B,1,S1,17926,2024-01-22T15:40:51Z,2024-01-22T20:39:37Z
6Y2B,1,S2,21,2024-01-22T20:39:37Z,2024-01-22T20:39:58Z
6Y2B,1,S3,26,2024-01-22T20:39:58Z,2024-01-22T20:40:24Z
6Y2B,2,S2,19,2024-01-22T20:40:24Z,2024-01-22T20:40:43Z
6Y2B,2,S3,14,2024-01-22T20:40:43Z,2024-01-22T20:40:57Z
6Y2B,3,S2,27,2024-01-22T20:40:57Z,2024-01-22T20:41:24Z
6Y2B,3,S3,16,2024-01-22T20:41:24Z,2024-01-22T20:41:40Z
6Y2B,4,S2,16,2024-01-22T20:41:40Z,2024-01-22T20:41:56Z
6Y2B,4,S3,5,2024-01-22T20:41:56Z,2024-01-22T20:42:01Z
6Y2B,5,S2,18,2024-01-22T20:42:01Z,2024-01-22T20:42:19Z
6Y2B,5,S3,1,2024-01-22T20:42:19Z,2024-01-22T20:42:20Z
6Y2B,6,S2,17,2024-01-22T20:42:20Z,2024-01-22T20:42:37Z
6Y2B,6,S3,2,2024-01-22T20:42:37Z,2024-01-22T20:42:39Z
6Y2B,7,S2,11,2024-01-22T20:42:39Z,2024-01-22T20:42:50Z
6Y2B,7,S3,2,2024-01-22T20:42:50Z,2024-01-22T20:42:52Z
6Y2B,8,S2,8,2024-01-22T20:42:52Z,2024-01-22T20:43:00Z
6Y2B,8,S3,8,2024-01-22T20:43:00Z,2024-01-22T20:43:08Z
6Y2B,9,S2,15,2024-01-22T20:43:08Z,2024-01-22T20:43:23Z
6Y2B,9,S3,3,2024-01-22T20:43:23Z,2024-01-22T20:43:26Z
6Y2B,10,S2,5,2024-01-22T20:43:26Z,2024-01-22T20:43:31Z
6Y2B,10,S3,4,2024-01-22T20:43:31Z,2024-01-22T20:43:35Z
6Y2B,10,S4,104,2024-01-22T20:43:35Z,2024-01-22T20:45:19Z
6swO,1,S0,0,2024-01-22T23:06:16Z,2024-01-22T23:06:16Z
6swO,1,S1,6,2024-01-22T23:06:16Z,2024-01-22T23:06:22Z
6swO,1,S2,7,2024-01-22T23:06:22Z,2024-01-22T23:06:29Z
6swO,1,S3,2,2024-01-22T23:06:29Z,2024-01-22T23:06:31Z
6swO,2,S2,14,2024-01-22T23:06:31Z,2024-01-22T23:06:45Z
6swO,2,S3,2,2024-01-22T23:06:45Z,2024-01-22T23:06:47Z
6swO,3,S2,11,2024-01-22T23:06:47Z,2024-01-22T23:06:58Z
6swO,3,S3,1,2024-01-22T23:06:58Z,2024-01-22T23:06:59Z
